"rubrik","beskrivning","Generera_ja_nej","border","outer_frame","inner_frame","question_text","answer_text"
"Stockholms geografi","Utmana spelarnas kunskap om Stockholms geografi. Fokusera på stadsdelar, öar, eller historiska platser i Stockholm. Exempel: ""På vilken ö i Stockholm ligger Kungliga slottet?""","ja","4169E1","B0E0E6","F0FFFF","000080","006400"
"Göteborgs geografi","Testa spelarnas kunskap om Göteborgs geografi. Fokusera på stadsdelar, hamnen, parker, eller kända platser i Göteborg. Exempel: ""Vilken stor park ligger mitt i centrala Göteborg och är känd för sina evenemang och nöjespark?""","ja","1E90FF","E6E6FA","F5F5FF","000080","006400"
"Malmös geografi","Utforska Malmös geografi genom frågor om stadsdelar, parker, landmärken eller historiska platser i Malmö. Exempel: ""Vilket torg är Malmös äldsta?""","ja","6495ED","B0C4DE","F0F8FF","000080","006400"
"Linköpings geografi","Testa spelarnas kunskap om Linköpings geografi. Fokusera på stadsdelar, universitetet, industrier eller kända platser i Linköping. Exempel: ""Vid vilken sjö ligger Linköping?""","ja","4682B4","AFEEEE","F0FFFF","000080","006400"
"Nyköpings geografi","Utmana spelarnas kunskap om Nyköpings geografi. Fokusera på stadens läge, hamnen, historiska platser eller kända byggnader i Nyköping. Exempel: ""Vilket slott ligger i centrala Nyköping och är känt för Nyköpingsgästabud?""","ja","20B2AA","E0FFFF","F5FFFF","000080","006400"
"Nintendo-spel","Testa spelarnas kunskaper om klassiska spel från Nintendo. Frågorna kan handla om spelserier, karaktärer, eller unika egenskaper hos Nintendo-spel. Exempel: ""Vilken rörmokare är huvudpersonen i Nintendos mest kända spelserie?""","ja","FF0000","FFB6C1","FFE4E8","8B0000","006400"
"Tv-serier från 80-talet","Utmana spelarnas kunskap om populära TV-serier från 1980-talet. Frågorna kan handla om karaktärer, skådespelare, handling eller kända citat från dessa serier. Exempel: ""Vilken 80-talsserie handlar om en pratande bil vid namn KITT?""","ja","FF69B4","FFC0CB","FFE4EC","8B008B","006400"
"Tv-serier från 90-talet","Testa spelarnas kunskap om kända TV-serier från 1990-talet. Frågorna kan handla om seriens skapare, huvudroller, berömda avsnitt eller kulturell påverkan. Exempel: ""Vilken 90-talssitcom har karaktärerna Ross, Rachel och Chandler?""","ja","FF1493","FFB6C1","FFE8F0","8B008B","006400"
"Vilken typ av hatt hade","Utmana spelarnas kunskap om historiska personers huvudbonader. Varje fråga nämner en historisk person, och svaret ska vara vilken typ av hatt denna person var känd för att bära. Exempel: ""Vilken typ av hatt bar Abraham Lincoln ofta?""","ja","8B4513","DEB887","FFF0E0","A0522D","006400"
"Vilken snabbmat","Testa spelarnas kunskap om olika snabbmatsrätter och kedjor. Frågorna kan handla om rätternas ursprung, ingredienser, eller de restaurangkedjor som är kända för att servera dem. Exempel: ""Vilken snabbmatskedja är känd för sin Big Mac?""","ja","FF4500","FFA07A","FFF0E0","8B0000","006400"
